[133 rows x 6 columns]
            번호     개방서비스명  영업상태구분코드                           소재지전체주소                         사업장명       업태구분명
556898  556899  즉석판매제조가공업         1              제주특별자치도 제주시 노형동 2420                        인바이트유   즉석판매제조가공업
557337  557338  즉석판매제조가공업         1          제주특별자치도 제주시 한림읍 귀덕리 3226                     호호만다린하우스   즉석판매제조가공업
558791  558792  즉석판매제조가공업         1        제주특별자치도 제주시 구좌읍 평대리 1958-7                  유랑노점아일랜드조르바   즉석판매제조가공업
559257  559258  즉석판매제조가공업         1          제주특별자치도 제주시 애월읍 하가리 1415                          제레미   즉석판매제조가공업
560404  560405  즉석판매제조가공업         1         제주특별자치도 서귀포시 안덕면 덕수리 1964                      슬레이트룸커피   즉석판매제조가공업
562298  562299  즉석판매제조가공업         1         제주특별자치도 제주시 조천읍 함덕리 286-8                         달카라멜   즉석판매제조가공업
564406  564407  즉석판매제조가공업         1           제주특별자치도 제주시 일도일동 1333-2                       코삿플레이스   즉석판매제조가공업
564476  564477  즉석판매제조가공업         1            제주특별자치도 서귀포시 서귀동 483-7                       코삿,서귀포   즉석판매제조가공업
564552  564553  즉석판매제조가공업         1           제주특별자치도 제주시 외도일동 475-13                          에두트   즉석판매제조가공업
564553  564554  즉석판매제조가공업         1           제주특별자치도 제주시 일도일동 1416-1                       섬마을과자점   즉석판매제조가공업
564977  564978  즉석판매제조가공업         1       제주특별자치도 서귀포시 표선면 세화리 2158-1                          렐레몬   즉석판매제조가공업
565958  565959  즉석판매제조가공업         1            제주특별자치도 제주시 연동 1518-15                         인피넛티   즉석판매제조가공업
566062  566063  즉석판매제조가공업         1           제주특별자치도 제주시 아라일동 6104-6                       니생각이났어   즉석판매제조가공업
567821  567822  즉석판매제조가공업         1       제주특별자치도 서귀포시 대정읍 안성리 1926-2                         청춘부부   즉석판매제조가공업
567926  567927  즉석판매제조가공업         1            제주특별자치도 서귀포시 서홍동 441-1                      수복커피2호점   즉석판매제조가공업
568097  568098  즉석판매제조가공업         1       제주특별자치도 서귀포시 대정읍 보성리 2476-9                          도노미   즉석판매제조가공업
571155  571156  즉석판매제조가공업         1           제주특별자치도 제주시 아라이동 3011-7                      어브라운브리즈   즉석판매제조가공업
571258  571259  즉석판매제조가공업         1           제주특별자치도 제주시 오라삼동 2319-8                         먹쿠슬낭   즉석판매제조가공업
571463  571464  즉석판매제조가공업         1         제주특별자치도 제주시 애월읍 유수암리 2915                       블랙이쉬레드   즉석판매제조가공업
572505  572506  즉석판매제조가공업         1             제주특별자치도 제주시 건입동 941-5                         노픈커피   즉석판매제조가공업
572568  572569  즉석판매제조가공업         1           제주특별자치도 제주시 이도이동 1766-7                          파인더   즉석판매제조가공업
572628  572629  즉석판매제조가공업         1           제주특별자치도 서귀포시 법환동 1275-7                        법환동커피   즉석판매제조가공업
572731  572732  즉석판매제조가공업         1        제주특별자치도 서귀포시 성산읍 신산리 680-5                        오늘,당근   즉석판매제조가공업
572857  572858  즉석판매제조가공업         1         제주특별자치도 제주시 애월읍 고성리 135-2                       달에사는고래   즉석판매제조가공업
573551  573552  즉석판매제조가공업         1             제주특별자치도 제주시 오라이동 94-1                        7화음커피   즉석판매제조가공업
574499  574500  즉석판매제조가공업         1       제주특별자치도 제주시 한경면 저지리 3019-14                            릇   즉석판매제조가공업
574998  574999  즉석판매제조가공업         1      제주특별자치도 서귀포시 안덕면 사계리 2294-27                    미카의달콤한작업실   즉석판매제조가공업
575594  575595  즉석판매제조가공업         1            제주특별자치도 제주시 용담일동 141-2                           동백   즉석판매제조가공업
575827  575828  즉석판매제조가공업         1   제주특별자치도 제주시 삼도이동 300-17 삼도골드빌1차                       전농로일공일   즉석판매제조가공업
585232  585233  즉석판매제조가공업         1              제주특별자치도 제주시 해안동 2463                      아날로그감귤밭   즉석판매제조가공업
585274  585275  즉석판매제조가공업         1        제주특별자치도 서귀포시 성산읍 삼달리 435-3                         나의왼손   즉석판매제조가공업
590134  590135  즉석판매제조가공업         1            제주특별자치도 제주시 노형동 318-50                         올레언니   즉석판매제조가공업
590971  590972  즉석판매제조가공업         1        제주특별자치도 제주시 애월읍 하귀1리 137-5                        제주보름달   즉석판매제조가공업
591265  591266  즉석판매제조가공업         1      제주특별자치도 서귀포시 표선면 성읍리 2381 1층                     이디야커피성읍점   즉석판매제조가공업
599814  599815  즉석판매제조가공업         1        제주특별자치도 서귀포시 남원읍 남원리 117-1                          지기내   즉석판매제조가공업
599903  599904  즉석판매제조가공업         1         제주특별자치도 서귀포시 안덕면 덕수리 1921                      덕수곶자왈카페   즉석판매제조가공업
600049  600050  즉석판매제조가공업         1           제주특별자치도 제주시 용담삼동 1145-2                         대학나무   즉석판매제조가공업
600335  600336  즉석판매제조가공업         1           제주특별자치도 제주시 구좌읍 송당리 874                       제주농부여행   즉석판매제조가공업
600843  600844  즉석판매제조가공업         1            제주특별자치도 제주시 이도이동 317-9                        제주바솔트   즉석판매제조가공업
